Event Id,Investigation Type,Accident Number,Event Date,Location,Country,Latitude,Longitude,Airport Code,Airport Name,Injury Severity,Aircraft Damage,Aircraft Category,Registration Number,Make,Model,Amateur Built,Number of Engines,Engine Type,FAR Description,Schedule,Purpose of Flight,Air Carrier,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Weather Condition,Broad Phase of Flight,Report Status,Publication Date,
20001211X10235 , Accident , CHI98LA186 , 06/02/1998 ," GREENFIELD, IA ", United States ,,, GFZ , GREENFIELD MUNICIPAL , Non-Fatal , Destroyed ,  , N487JS , Sheets , KITFOX II , Yes ,1, Reciprocating ,  ,  , Personal ,  ,0.0,0.0,1.0,1.0, VMC , TAKEOFF , Probable Cause , 02/15/2001 , 
20001211X10398 , Accident , NYC98LA121 , 06/01/1998 ," ABINGDON, VA ", United States ,,, VJI , VIRGINIA HIGHLANDS , Non-Fatal , Destroyed ,  , N485AJ , Cawood , FISHER CLASSIC , Yes ,1, Reciprocating ,  ,  , Personal ,  ,0.0,1.0,0.0,0.0, VMC , CLIMB , Probable Cause , 12/08/1998 , 
20001211X10332 , Accident , IAD98LA065 , 06/01/1998 ," FLOYD, VA ", United States ,,,  ,  , Non-Fatal , Destroyed ,  , N7794Y , Piper , PA-30 , No ,2, Reciprocating ,  ,  , Personal ,  ,0.0,2.0,0.0,0.0, VMC , CRUISE , Probable Cause , 03/30/2000 , 
20001211X10236 , Accident , CHI98LA188 , 06/01/1998 ," NORFOLK, NE ", United States ,,, OFK , STEFAN MUNICIPAL , Non-Fatal , Destroyed ,  , N6847E , Cessna , 175A , No ,1, Reciprocating ,  ,  , Personal ,  ,0.0,0.0,3.0,0.0, VMC , TAKEOFF , Probable Cause , 02/16/2001 , 
20001211X10234 , Accident , CHI98FA187 , 06/01/1998 ," LITTLE FALLS, MN ", United States ,,, LXL , LITTLE FALLS-MORRISON , Fatal(1) , Destroyed ,  , N541N , Cessna ,421, No ,2, Reciprocating ,  ,  , Unknown ,  ,1.0,0.0,0.0,0.0, VMC , TAKEOFF , Probable Cause , 03/31/2000 , 
20001211X10149 , Accident , MIA98FA172 , 05/31/1998 ," OCEAN SPRINGS, MS ", United States ,,, 5R2 , OCEAN SPRINGS , Fatal(1) , Destroyed ,  , N7736V , Aero Commander , CALLAIR A-9 , No ,1, Reciprocating ,  ,  , Personal ,  ,1.0,0.0,0.0,0.0, VMC , MANEUVERING , Probable Cause , 02/22/2001 , 
20001211X10143 , Accident , LAX98LA178 , 05/31/1998 ," INYOKERN, CA ", United States ,,,  ,  , Non-Fatal , Destroyed ,  , N656VK , Fields , BABY BELLE , Yes ,1, Reciprocating ,  ,  , Personal ,  ,0.0,1.0,0.0,0.0, VMC , TAKEOFF , Probable Cause , 08/03/1999 , 
20001211X10055 , Accident , FTW98FA248 , 05/31/1998 ," STANLEY, NM ", United States ,,,  ,  , Fatal(1) , Destroyed ,  , N30BP , Jacob Tussel , EVERETT B1 , Yes ,1, Reciprocating ,  ,  , Personal ,  ,1.0,0.0,0.0,0.0, VMC , MANEUVERING , Probable Cause , 02/15/2001 , 
20001211X10188 , Accident , SEA98FA083 , 05/30/1998 ," MARSING, ID ", United States ,,,  ,  , Fatal(2) , Destroyed ,  , N151TM ," PAPA 51 LTD., CO. ", THUNDER MUSTANG , Yes ,1, Reciprocating ,  ,  , Personal ,  ,2.0,0.0,0.0,0.0, VMC , MANEUVERING , Probable Cause , 01/10/2000 , 
20001211X10048 , Accident , DCA98WA059 , 05/30/1998 ," SLIGO AIRPORT, Ireland ", Ireland ,,,  ,  , Fatal(2) , Destroyed , Airplane , DMLAB , Rans Inc. , AIRAILE S 12 , Yes ,  , Unknown ," Non-U.S., Non-Commercial ",  , Unknown ,  ,2.0,,,, UNK ,  , Foreign ,  , 
20001211X09966 , Accident , ANC98FA061B , 05/30/1998 ," JUNEAU, AK ", United States ,,,  ,  , Fatal(2) , Destroyed ,  , N4948V , Cessna , 172RG , No ,1, Reciprocating ,  ,  , Unknown ,  ,2.0,1.0,0.0,5.0, VMC , CRUISE , Probable Cause , 09/28/1999 , 
20001211X10032 , Accident , CHI98LA180 , 05/29/1998 ," ORLEANS, NE ", United States ,,,  ,  , Non-Fatal , Destroyed ,  , N1AG , Beech , F35 , No ,1, Reciprocating ,  ,  , Personal ,  ,0.0,0.0,1.0,0.0, VMC , CRUISE , Probable Cause , 02/15/2001 , 
20001211X10030 , Accident , CHI98LA178 , 05/28/1998 ," NORTH PLATTE, NE ", United States ,,, LBF , NORTH PLATTE MUNICIPAL , Non-Fatal , Destroyed ,  , N888AA , Cessna ,414, No ,2, Reciprocating ,  , NSCH , Unknown ,  ,0.0,0.0,3.0,0.0, VMC , TAKEOFF , Probable Cause , 02/15/2001 , 
20001211X10173 , Accident , NYC98FA117 , 05/26/1998 ," TAUNTON, MA ", United States ,,, TAN , TAUNTON , Fatal(1) , Destroyed ,  , N1189Z , MORELLI , RANS S9 , Yes ,1, Reciprocating ,  ,  , Unknown ,  ,1.0,0.0,0.0,0.0, VMC , MANEUVERING , Probable Cause , 06/21/2000 , 
20001211X10174 , Accident , NYC98GA113 , 05/25/1998 ," MIDDLEBOROUGH, MA ", United States ,,,  ,  , Fatal(2) , Destroyed ,  , N9885E , Cessna , 182R , No ,1, Reciprocating ,  ,  , Instructional ,  ,2.0,0.0,0.0,0.0, VMC , GO-AROUND , Probable Cause , 08/03/2000 , 
20001211X10172 , Accident , NYC98FA112 , 05/25/1998 ," MIDDLETOWN, RI ", United States ,,, UUU , NEWPORT STATE AIRPORT , Fatal(2) , Destroyed ,  , N4507S , Beech , A36 , No ,1, Reciprocating ,  ,  , Personal ,  ,2.0,2.0,0.0,0.0, VMC , CRUISE , Probable Cause , 08/03/1999 , 
20001211X09998 , Accident , CHI98FA172 , 05/25/1998 ," MORRIS, IL ", United States ,,,  ,  , Fatal(1) , Destroyed ,  , N24743 , Piper , J-3C , No ,1, Reciprocating ,  ,  , Personal ,  ,1.0,1.0,0.0,0.0, VMC , MANEUVERING , Probable Cause , 10/15/1999 , 
